theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months
IND::Other Industrial Products,Other Industrial Products - Cluster s,INOXINDIA,Core,-0.2494,0.3144,0.1513,0.1853,0.3714,30
IND::Other Industrial Products,Other Industrial Products - Cluster s,GRINDWELL,Core,0.03,0.2518,0.1804,0.1792,0.7236,50
IND::Other Industrial Products,Other Industrial Products - Cluster s,MMFL,Core,0.2971,0.3086,0.2204,0.1958,0.8321,50
IND::Other Industrial Products,Other Industrial Products - Cluster s,CARBORUNIV,Core,0.3948,0.2326,0.1274,0.2792,0.7001,50
IND::Other Industrial Products,Other Industrial Products - Cluster s,SOLARINDS,Core,0.4017,0.2444,0.247,0.1661,0.2667,50
IND::Other Industrial Products,Other Industrial Products - Cluster s,JINDALSAW,B,1.3126,0.1885,0.2139,0.3158,0.4386,46
IND::Other Industrial Products,Other Industrial Products - Cluster s,TIPSMUSIC,B,1.5097,0.5177,0.3373,0.3201,0.4661,23
IND::Other Industrial Products,Other Industrial Products - Cluster s,PTCIL,B,1.6484,0.1203,0.3483,0.2128,0.1802,47
IND::Transportation - Logistics,Transportation - Logistics - Cluster s,DELHIVERY,A,-0.7693,0.4913,0.0803,0.278,0.7132,50
IND::Transportation - Logistics,Transportation - Logistics - Cluster s,BLUEDART,Core,-0.4142,0.1536,0.1779,0.131,0.7184,50
IND::Transportation - Logistics,Transportation - Logistics - Cluster s,MAHLOG,Core,-0.3763,0.4394,0.138,0.258,0.856,50
IND::Transportation - Logistics,Transportation - Logistics - Cluster s,GATEWAY,Core,0.1707,0.3319,0.2225,0.2161,0.6828,50
