symbol,theme_id,theme_label,theme_family,membership_type,assignment_order,fit_score,corr_with_theme_moves,med_abs_resid,fit_overlap_months,sector_mode,industry_mode,primary_theme_id
CENTURYPLY,IND::Forest Products,Forest Products,Forest Products,primary,1,1.0,,,,Basic Materials,Forest Products,IND::Forest Products
CERA,IND::Furniture-Furnishing-Paints,Furniture-Furnishing-Paints,Furniture-Furnishing-Paints,primary,1,1.0,,,,Industrials,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
CESC,IND::Electric Utilities::A,Electric Utilities · Group 1,Electric Utilities,primary,1,1.0,,,,Utilities,Electric Utilities,IND::Electric Utilities::A
CGCL,IND::Finance (including NBFCs)::A,Finance (including Nbfcs) · Group 3,Finance (including Nbfcs),primary,1,1.0,,,,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::A
CGPOWER,IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment · Group 1,Heavy Electrical Equipment,primary,1,1.0,,,,Industrials,Heavy Electrical Equipment,IND::Heavy Electrical Equipment::A
CHALET,IND::Hotels,Hotels,Hotels,primary,1,1.0,,,,Consumer Cyclical,Hotels,IND::Hotels
CHAMBLFERT,IND::Fertilizers,Fertilizers,Fertilizers,primary,1,1.0,,,,Basic Materials,Fertilizers,IND::Fertilizers
CHEMPLASTS,IND::Specialty Chemicals::B,Specialty Chemicals · Group 2,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::B
CHENNPETRO,IND::Refineries/Petro-Products,Refineries / Petro-Products,Refineries / Petro-Products,primary,1,1.0,,,,Energy,Refineries/Petro-Products,IND::Refineries/Petro-Products
CHOLAFIN,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),primary,1,1.0,,,,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
CHOLAFIN,IND::Finance (including NBFCs)::B::A,Finance (including Nbfcs) · Group 1,Finance (including Nbfcs),secondary,2,0.3674,0.5231,0.1,50.0,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
CHOLAHLDNG,IND::Holding Companies,Holding Companies,Holding Companies,primary,1,1.0,,,,Financial Services,Holding Companies,IND::Holding Companies
