symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
KRN,27,926.45,1684.2632049999997,76.17,18.31,5.98,-0.87,5766.05,70.79,12,21,52,84.88346131838625
MEDPLUS,27,841.5,6023.998650000001,53.11,3.83,1.08,19.48,10090.45,40.3,29,28,29,85.48600613434354
MIDHANI,27,352.85,1719.4268,53.9,13.11,-6.38,33.87,6613.18,74,28,38,19,85.67565243076913
MRF,27,138780,42543.079721999995,59.7,-9.42,-6.29,28.74,58866.86,27.73,24,38,23,84.44735123829574
PREMEXPLN,27,507.55,1599.795959,52.95,-4.14,-7.99,43.48,2726.77,41.33,29,41,16,85.3006509185872
V2RETAIL,27,1938.1,3427.123485,37.03,-13.72,18.43,16.19,7056.05,51.43,40,12,33,85.01523702321947
ABDL,28,474.6,2536.7326520000006,44.37,-24.48,-5.2,42.8,13288.28,80.91,35,37,16,87.38493322512502
ATUL,28,6415,10358.629578,54.69,9.37,1.84,13.84,18909.51,45.22,27,26,35,88.6196867712537
CHOICEIN,28,702.55,7244.313664,59.14,-8.28,-10.69,43.42,15632.96,53.66,24,45,16,85.74733334041834
FEDFINA,28,126.68,1855.654338,47.4,-12.35,-7.12,40.61,4735.02,60.81,32,39,17,88.09091137441894
GRWRHITECH,28,4051.5,3684.5150639999997,69.86,9.36,43.59,-9.77,9380.13,60.72,18,5,64,86.11591986399202
EBGNG,28,349.35,848.4490800000002,67.82,10.83,-4.09,NA,3985.2,78.71,19,35,35,88.65488661217913
HDFCAMC,28,2503.8,51070.769014,61.53,-2.86,-10.14,30.34,107246.47,52.38,23,44,21,88.19647254885737
M&M,28,3332.5,338096.597265,65.7,-10.35,-6.42,21.52,414486.45,18.43,20,38,27,85.88487407869881
MAHLIFE,28,356.65,3620.547261,58.88,-13.56,-1.87,17.3,7607.79,52.41,25,31,31,86.70986875254079
MASFIN,28,300.9,1823.7839580000002,58.08,-6.14,-3.17,19.38,5465.34,66.63,25,33,29,87.54749576216601
POCL,28,1074.4,1988.513658,53.71,-17.37,-14.55,83,3278.13,39.34,28,53,6,87.65657908393658
SARDAEN,28,553.5,5236.883916000001,64.48,16.32,-2.79,16.31,19511.49,73.16,21,32,33,85.91332264559233
360ONE,29,1064.2,40529.596875,58.72,-7.19,2.56,10.14,43231.57,6.25,25,25,40,89.74847697704254
