symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ANANDRATHI,16,3073.1,14514.211800000001,85.57,6.38,9.99,52.23,25517.25,43.12,12,25,15,52.304618396546736
BAJAJ-AUTO,16,10110,127163.75983499998,97.52,11.42,17.13,20.1,282523.35,54.99,4,18,34,55.38482383714555
BALAJITELE,16,108.65,902.2246200000002,64.6,-5.95,14.28,89.75,1322.91,31.8,28,21,7,55.552790175605374
CHOLAFIN,16,1748.1,74875.005024,82.31,0.7,23.04,27.8,148916.08,49.72,14,14,27,55.80098150472547
GODAVARIB,16,283.55,533.175411,66.93,14.38,14.8,77.54,1453.19,63.31,26,20,9,55.10283998244161
HEROMOTOCO,16,5787,75580.70190000001,80.34,-6.28,13.74,51.17,115797,34.73,16,21,16,52.53579350491975
INDIACEM,16,425,3292.27,74.22,8.2,11.4,69.59,13169.08,75,21,23,10,55.192186817943416
MARICO,16,805.75,42987.221159999994,96.71,12.32,11.01,29.58,104642.7,58.92,4,23,27,54.51012134173294
MASFIN,16,338.9,2051.470805,88.1,9.75,9.29,44.98,6147.65,66.63,10,26,18,54.3300577307205
NDRINVIT,16,129,3044.6958,100,4.03,14.41,20.56,5108.55,40.4,1,21,33,54.74085895638718
NMDC,16,82.56,28457.198598000003,84.33,11.69,20,27.39,72576.38,60.79,13,15,28,55.47656008726659
TATVA,16,1236.6,810.1301220000001,62.66,-15.13,18.87,74.61,2895.39,72.02,29,16,9,54.41458608701549
ASTERDM,17,649.45,20036.566236,76.09,-2.4,8.05,57.96,33612.76,40.39,20,27,13,59.97343705659162
BHEL,17,264.85,33984.989306999996,68.4,-8.94,27.33,36.09,92275.29,63.17,25,12,22,59.27672494926912
BBOX,17,544.85,2782.525858,76.19,2.07,20.54,31.91,9309.22,70.11,19,15,25,59.21719186583037
CIEINDIA,17,491.85,6382.68463,79.82,19.5,27.87,23.27,18608.41,65.7,16,12,31,58.53247689808951
DEEDEV,17,303.95,627.7676579999999,78.95,42.4,13.56,44.7,2105.19,70.18,17,21,18,56.022966220854
HINDPETRO,17,444,42608.36932,70.82,-2.95,18.12,43.3,94475.32,54.9,24,17,19,58.84327687133035
MANAPPURAM,17,293.05,16063.795124999999,77.54,2.84,12.09,42.99,24808.95,35.25,18,23,19,59.92007021526756
